target,Age,Maori,Sex,Area,target_binary
5,18-29,No,Female,Auckland,1
4,65+,No,Male,Auckland,1
3,30-39,No,Female,Auckland,0
2,30-39,No,Female,Dunedin City,0
5,18-29,No,Female,Marlborough District,1
1,50-64,No,Female,Tauranga City,0
3,30-39,No,Female,Wellington City,0
3,65+,No,Male,Auckland,0
4,30-39,No,Male,Auckland,1
2,40-49,No,Male,Dunedin City,0
1,40-49,No,Male,Waitaki District,0
2,30-39,No,Female,Porirua City,0
5,50-64,No,Female,Auckland,1
1,65+,No,Male,Porirua City,0
1,30-39,No,Male,Auckland,0
4,65+,No,Female,Wellington City,1
4,30-39,No,Male,Christchurch City,1
3,18-29,No,Female,Christchurch City,0
3,50-64,No,Male,Westland District,0
5,18-29,No,Female,New Plymouth District,1
3,18-29,No,Female,Christchurch City,0
3,30-39,No,Female,Auckland,0
4,18-29,No,Male,Auckland,1
4,65+,No,Male,Waikato District,1
1,50-64,No,Female,Waipa District,0
3,18-29,No,Female,Matamata-Piako District,0
4,18-29,No,Male,Auckland,1
3,40-49,No,Male,Auckland,0
1,18-29,No,Female,Kapiti Coast District,0
1,40-49,No,Male,Nelson City,0
1,50-64,No,Female,Rotorua District,0
2,30-39,No,Male,Taupo District,0
4,18-29,No,Male,Auckland,1
1,18-29,No,Male,Hamilton City,0
3,50-64,No,Male,Auckland,0
4,65+,No,Male,Tasman District,1
3,50-64,No,Male,Wellington City,0
2,18-29,No,Male,Christchurch City,0
2,50-64,No,Male,New Plymouth District,0
3,40-49,No,Female,Upper Hutt City,0
1,65+,No,Male,Auckland,0
3,18-29,No,Male,Selwyn District,0
3,30-39,No,Female,Auckland,0
2,40-49,No,Male,Auckland,0
4,18-29,Yes,Female,Auckland,1
5,18-29,No,Female,Christchurch City,1
3,30-39,No,Female,Nelson City,0
2,40-49,No,Male,Auckland,0
4,18-29,No,Female,Christchurch City,1
4,30-39,No,Male,Auckland,1
2,30-39,No,Male,Auckland,0
1,50-64,No,Male,Gisborne District,0
4,40-49,No,Female,Auckland,1
1,30-39,No,Male,Matamata-Piako District,0
4,18-29,Yes,Male,Auckland,1
1,18-29,No,Male,Auckland,0
4,50-64,No,Male,Waipa District,1
4,30-39,No,Female,Hamilton City,1
5,18-29,Yes,Female,Manawatu District,1
1,30-39,No,Female,Gisborne District,0
3,40-49,No,Male,Auckland,0
3,65+,No,Female,Auckland,0
3,18-29,No,Female,Queenstown-Lakes District,0
2,18-29,No,Female,Wellington City,0
3,50-64,No,Female,Southland District,0
3,50-64,Yes,Male,Auckland,0
5,50-64,No,Female,Christchurch City,1
1,18-29,Yes,Male,Gisborne District,0
1,30-39,No,Female,Auckland,0
1,18-29,No,Female,Auckland,0
3,18-29,No,Female,Auckland,0
3,50-64,No,Female,Queenstown-Lakes District,0
2,50-64,No,Female,Auckland,0
3,18-29,No,Male,Auckland,0
4,50-64,Yes,Male,Auckland,1
3,30-39,Yes,Female,Christchurch City,0
3,30-39,No,Male,Auckland,0
2,18-29,No,Male,Auckland,0
1,18-29,No,Female,Auckland,0
4,40-49,Yes,Female,Auckland,1
4,30-39,No,Female,Napier City,1
1,40-49,No,Male,Christchurch City,0
2,50-64,No,Male,Queenstown-Lakes District,0
1,65+,No,Female,Auckland,0
1,50-64,No,Female,Western Bay of Plenty District,0
3,30-39,No,Male,Nelson City,0
3,50-64,No,Female,Queenstown-Lakes District,0
3,18-29,No,Female,Southland District,0
4,18-29,No,Male,Auckland,1
2,40-49,No,Male,Rotorua District,0
3,30-39,No,Female,South Waikato District,0
2,50-64,No,Female,Clutha District,0
2,65+,No,Male,Matamata-Piako District,0
2,30-39,No,Female,Whangarei District,0
2,50-64,No,Female,Waimakariri District,0
4,18-29,Yes,Female,Auckland,1
3,50-64,No,Male,Auckland,0
3,65+,No,Male,Wellington City,0
4,18-29,No,Female,Auckland,1
3,30-39,No,Female,Gore District,0
3,65+,No,Male,Invercargill City,0
2,40-49,No,Male,Napier City,0
4,30-39,No,Female,Waimakariri District,1
1,30-39,No,Male,Christchurch City,0
2,30-39,No,Male,Auckland,0
1,50-64,No,Female,Auckland,0
1,50-64,No,Male,Wellington City,0
4,50-64,No,Female,Wellington City,1
1,18-29,No,Male,Hastings District,0
4,65+,No,Male,Lower Hutt City,1
3,18-29,No,Male,Auckland,0
5,18-29,No,Female,Tauranga City,1
1,40-49,No,Female,Hastings District,0
4,18-29,Yes,Female,Dunedin City,1
2,65+,No,Male,Waikato District,0
1,30-39,No,Female,Wellington City,0
3,40-49,No,Male,Rotorua District,0
5,40-49,No,Female,Auckland,1
1,30-39,Yes,Female,Rotorua District,0
4,50-64,No,Female,Whakatane District,1
3,18-29,No,Female,Auckland,0
3,50-64,No,Female,Nelson City,0
3,30-39,No,Female,Far North District,0
4,30-39,No,Female,Auckland,1
3,18-29,No,Female,Christchurch City,0
1,18-29,No,Female,Auckland,0
5,40-49,No,Female,Wellington City,1
3,18-29,No,Female,Christchurch City,0
3,50-64,No,Female,Waipa District,0
2,40-49,No,Male,Wellington City,0
3,65+,No,Male,Hastings District,0
3,50-64,No,Female,Auckland,0
1,65+,No,Female,Lower Hutt City,0
1,18-29,No,Male,Nelson City,0
1,30-39,No,Female,Palmerston North City,0
5,18-29,No,Male,Waitomo District,1
1,18-29,No,Male,Christchurch City,0
4,18-29,No,Female,Auckland,1
5,30-39,Yes,Female,Wellington City,1
2,18-29,No,Female,Waimate District,0
2,65+,No,Female,Lower Hutt City,0
2,30-39,No,Male,Dunedin City,0
5,30-39,Yes,Female,Far North District,1
1,18-29,No,Male,Palmerston North City,0
1,50-64,No,Male,Upper Hutt City,0
2,50-64,No,Female,Hamilton City,0
3,30-39,No,Male,New Plymouth District,0
2,40-49,No,Female,Rangitikei District,0
3,30-39,No,Female,Auckland,0
1,40-49,No,Male,Auckland,0
1,40-49,No,Male,Wellington City,0
1,65+,No,Female,Marlborough District,0
4,18-29,No,Female,Christchurch City,1
2,18-29,No,Female,Auckland,0
3,50-64,Yes,Female,Christchurch City,0
3,50-64,Yes,Female,Auckland,0
3,65+,No,Male,Ashburton District,0
1,65+,No,Male,Auckland,0
3,50-64,No,Female,Auckland,0
3,30-39,Yes,Male,Christchurch City,0
1,40-49,No,Male,Auckland,0
5,18-29,No,Female,Auckland,1
1,30-39,No,Female,Auckland,0
4,18-29,No,Female,Auckland,1
3,40-49,No,Female,New Plymouth District,0
2,30-39,No,Male,Auckland,0
