Area,Ethnic group,Sex,Maori,Age,count,pred_cells
Gore District,Maori,Female,Yes,30-39,81,0.4045204734927072
Gore District,Maori,Female,Yes,40-49,75,0.33213961209273224
Gore District,Maori,Female,Yes,50-64,78,0.3037902735984273
Gore District,Maori,Female,Yes,65+,30,0.27421869092582424
Gore District,Maori,Male,Yes,18-29,109,0.4244131768517113
Gore District,Maori,Male,Yes,30-39,60,0.3272198885541504
Gore District,Maori,Male,Yes,40-49,60,0.26257158785533785
Gore District,Maori,Male,Yes,50-64,90,0.23804371097502555
Gore District,Maori,Male,Yes,65+,36,0.21291481706971502
Gore District,Non-Maori,Female,No,18-29,604,0.20743290648745277
Gore District,Non-Maori,Female,No,30-39,585,0.1472200984659641
Gore District,Non-Maori,Female,No,40-49,789,0.1122031532209393
Gore District,Non-Maori,Female,No,50-64,1134,0.09982042371002722
Gore District,Non-Maori,Female,No,65+,1257,0.08760532232065642
Gore District,Non-Maori,Male,No,18-29,640,0.15781307607836678
Gore District,Non-Maori,Male,No,30-39,507,0.11000458619277426
Gore District,Non-Maori,Male,No,40-49,714,0.08297819817344805
Gore District,Non-Maori,Male,No,50-64,1206,0.07355352053540465
Gore District,Non-Maori,Male,No,65+,966,0.06432303971837171
Grey District,Maori,Female,Yes,18-29,97,0.5529195888335854
Grey District,Maori,Female,Yes,30-39,75,0.4492678246076114
Grey District,Maori,Female,Yes,40-49,87,0.3739077736909674
Grey District,Maori,Female,Yes,50-64,81,0.34382874087879456
Grey District,Maori,Female,Yes,65+,30,0.31210692514268085
Grey District,Maori,Male,Yes,18-29,94,0.46962560036494266
Grey District,Maori,Male,Yes,30-39,51,0.3687109301210357
Grey District,Maori,Male,Yes,40-49,66,0.29951467195175663
Grey District,Maori,Male,Yes,50-64,72,0.2728124944307174
Grey District,Maori,Male,Yes,65+,18,0.24519436146385185
Grey District,Non-Maori,Female,No,18-29,787,0.23280696546070065
Grey District,Non-Maori,Female,No,30-39,687,0.16677858161454148
Grey District,Non-Maori,Female,No,40-49,933,0.12780677490125858
Grey District,Non-Maori,Female,No,50-64,1326,0.11392300179097214
Grey District,Non-Maori,Female,No,65+,1065,0.10017420212603895
Grey District,Non-Maori,Male,No,18-29,772,0.17848431404196577
Grey District,Non-Maori,Male,No,30-39,564,0.12534562975922242
Grey District,Non-Maori,Male,No,40-49,930,0.09495230444345812
Grey District,Non-Maori,Male,No,50-64,1446,0.08429261890350798
Grey District,Non-Maori,Male,No,65+,1023,0.07382183957105148
Hamilton City,Maori,Female,Yes,18-29,3470,0.6336008744185804
Hamilton City,Maori,Female,Yes,30-39,1950,0.5328507189868422
Hamilton City,Maori,Female,Yes,40-49,1686,0.45505498235941005
Hamilton City,Maori,Female,Yes,50-64,1614,0.4228569358231269
Hamilton City,Maori,Female,Yes,65+,603,0.388157024865184
Hamilton City,Maori,Male,Yes,18-29,2963,0.5531915812952259
Hamilton City,Maori,Male,Yes,30-39,1638,0.4495400975904548
